abc1,abc2,abc3,abc4,Date,SI,OI
0.481888999,0.480797574,0.490488288,0.494426681,6/01/2004,0.013066658,0.030221
0.012706117,0.017127314,0.019015176,0.018838649,13/01/2004,-0.007099947,0.027573
-0.011223395,-0.008871533,-0.007959037,-0.007585105,20/01/2004,-0.010467202,-0.012535
0.041270095,0.018719456,0.017418753,0.01960347,27/01/2004,-0.002843933,0.017575
-0.007375014,-0.011298564,-0.014719758,-0.016998726,3/02/2004,0.003408687,0.00263
-0.003528871,0.004583889,0.008694256,0.008747972,10/02/2004,-0.00755025,-0.02076
-0.007765242,-0.003991894,-0.001130945,-0.000135806,17/02/2004,0.028788444,0.0214
0.057782104,0.075335879,0.073687844,0.071917266,24/02/2004,0.015624438,-0.013723
-0.008653344,0.020607058,0.026329581,0.027374994,2/03/2004,0.005779477,0.018222
-0.030434647,-0.041848152,-0.042733691,-0.043509647,9/03/2004,-0.009261771,-0.004436
0.001272976,0.001048895,0.003028636,0.003441964,16/03/2004,-0.01570129,0.035359
-0.233211891,-0.239520102,-0.246781887,-0.252130121,23/03/2004,0.020687187,-0.027143
-0.000743493,-0.008525927,-0.022044708,-0.028560561,30/03/2004,-0.029987629,-0.004676
-0.198371589,-0.176957674,-0.156253421,-0.144911327,6/04/2004,-0.052175961,-0.009389
-0.107159276,-0.09902854,-0.091972346,-0.087375214,13/04/2004,0.030569209,0.049677
-0.10427675,-0.11802604,-0.128277428,-0.129920893,20/04/2004,0.016772484,-0.028725
-0.01013752,0.005370461,0.00601895,0.005241213,27/04/2004,0.001257373,0.017522
-0.019420947,0.006672886,0.012886776,0.017392185,4/05/2004,0.004817635,0.029341
-0.04879916,-0.064127209,-0.062005541,-0.060647047,11/05/2004,0.001221586,-1.70E-05
-0.053150388,-0.071419373,-0.070607035,-0.067671599,18/05/2004,-4.19E-05,-0.006199
-0.001431805,-0.002417109,-0.003468578,-0.004548077,25/05/2004,0.017002885,-0.006549
0.056122141,0.026533708,0.023654256,0.028190106,1/06/2004,-0.01961931,0.021583
0.039017723,0.043502268,0.051936928,0.057205786,8/06/2004,-0.037134592,-0.040818
-0.208918066,-0.21364188,-0.222562701,-0.230181428,15/06/2004,-0.013382479,0.004859
0.014913245,0.010142805,0.00592732,0.002380254,22/06/2004,5.66E-05,0.001368
0.018015811,0.018767105,0.019192271,0.0186825,29/06/2004,-0.01724108,-0.005963
0.022299864,0.026268604,0.029343727,0.028443655,6/07/2004,0.014755312,0.0044
-0.112340385,-0.120113275,-0.123393654,-0.1287407,13/07/2004,0.010005147,-0.019761
0.003415103,0.003511096,0.002840675,0.002605294,20/07/2004,0.006025612,0.017388
-0.006602197,-0.003576272,-0.002616039,0.107637284,27/07/2004,-0.002013851,-0.020815
-0.016473481,-0.015130956,-0.019104505,-0.060899263,3/08/2004,0.005666166,0.049849
0.015236074,0.016163756,0.018368219,0.03111798,10/08/2004,-0.003478776,-0.028264
0.021517503,0.015597439,0.012612067,0.020970796,17/08/2004,0.013638995,0.032449
0.055530818,0.060509733,0.061692404,0.031144657,24/08/2004,-0.019431024,-0.050361
-0.02095885,-0.019881168,-0.020677207,-0.009346949,31/08/2004,-0.005655923,0.009174
-0.025671984,-0.028033489,-0.029658206,-0.030790682,7/09/2004,-0.010017433,0.004868
0.110897584,0.124137615,0.123216673,0.097667142,14/09/2004,-0.011211386,-0.012091
0.046302743,0.045071583,0.038978729,0.026540574,21/09/2004,0.0204532,-0.009999
0.027789521,0.022587419,0.021073351,0.011729796,28/09/2004,0.008525241,0.016424
