abc1,abc2,abc3,abc4,Date,SI,OI
0.006447766,-0.001204508,-0.000891308,0.000384626,4/01/2000,-0.01636848,0.010839
0.052970522,0.049757796,0.047232378,0.046049971,11/01/2000,0.001091735,0.001594
-0.012669399,-0.006556391,-0.002993003,0.002204274,18/01/2000,0.028150046,0.02237
0.040217757,0.041262968,0.041263546,0.041197452,25/01/2000,0.008095145,-0.033225
-0.014955771,-0.011481948,-0.008487295,-0.007370057,1/02/2000,0.014853578,0.00498
-0.008066419,-0.00854504,-0.010248469,-0.012635766,8/02/2000,-0.033259566,0.01891
-0.015335433,-0.014790245,-0.014907369,-0.01422285,15/02/2000,0.026085411,0.02799
-0.097205195,-0.111724846,-0.102394176,-0.097621032,22/02/2000,0.010532925,-0.044198
0.022223837,0.007648648,0.005075853,0.002621174,29/02/2000,-0.004515503,-0.004492
-0.001911312,-0.002412034,-0.003292522,-0.004004797,7/03/2000,-0.013673049,0.018287
-0.079129008,-0.070184911,-0.068151245,-0.069516669,14/03/2000,-0.021363953,0.021876
-0.012319412,-0.012980631,-0.014738387,-0.015146496,21/03/2000,-0.003336783,-0.034648
-0.286645267,-0.202735652,-0.16621804,-0.13874086,28/03/2000,-0.011468458,-0.019489
-0.002488415,-0.010341011,-0.012241239,-0.013033358,4/04/2000,-0.008062777,0.004914
0.030663222,0.031872138,0.027399488,0.024267385,11/04/2000,-0.030177449,0.010046
0.019580059,0.021810576,0.01958766,0.017561202,18/04/2000,-0.02110409,-0.04096
-0.045698435,-0.036922346,-0.032967934,-0.031742848,25/04/2000,-0.005933464,-0.036057
0.010650583,0.017409754,0.01723103,0.015852166,2/05/2000,0.035827712,0.014963
0.007379022,-0.001723217,-0.00526693,-0.006950076,9/05/2000,0.037477232,0.016673
-0.014184555,-0.027099584,-0.030618043,-0.030500026,16/05/2000,0.033959835,0.013881
0.046497984,0.056751447,0.066603967,0.071010251,23/05/2000,-0.001388405,-0.024243
0.063799869,0.085476309,0.083792623,0.076537947,30/05/2000,0.010671951,0.010645
0.04010898,0.02566432,0.021831588,0.021361247,6/06/2000,-0.022942194,0.003379
0.003757083,-0.001619859,-0.008085106,-0.011487067,13/06/2000,-0.008097065,0.046169
0.03169957,0.023575819,0.019711046,0.018132806,20/06/2000,0.009419117,-0.050761
0.012947845,0.002167685,-0.0014071,-0.002961305,27/06/2000,0.0020796,-0.01606
0.020749178,-6.02E-05,-0.009868433,-0.015899997,4/07/2000,-0.003949408,-0.002399
0.007187356,0.010765595,0.010171072,0.009381191,11/07/2000,-0.014223888,-0.00835
-0.016393661,-0.016421982,-0.016764719,-0.016336595,18/07/2000,-0.010003991,0.028515
0.024977318,0.020783091,0.020171988,0.020458981,25/07/2000,-0.021510727,-0.045005
0.049667885,0.042507235,0.039931726,0.038768152,1/08/2000,-0.027397783,-0.004303
0.032705032,0.024948775,0.018844688,0.015022939,8/08/2000,-0.004226682,0.006477
0.041173515,0.047601739,0.045688521,0.04304775,15/08/2000,0.02624171,0.018164
0.009155729,0.008181929,0.007930471,0.007939957,22/08/2000,0.012311572,-0.024212
-0.006600896,0.001030962,0.005339619,0.007357879,29/08/2000,0.008600101,-0.000858
0.015856691,0.005977225,0.003113195,0.002633938,5/09/2000,-0.024051749,0.025758
-0.016354094,-0.016969177,-0.018450929,-0.019482946,12/09/2000,-0.015840307,0.045474
-0.020269311,-0.024072993,-0.030533705,-0.033813094,19/09/2000,0.003415656,-0.007975
-0.061899019,-0.054087254,-0.053931809,-0.05437043,26/09/2000,0.009491817,-0.021969
0.132247425,0.117538728,0.115118747,0.109305441,3/10/2000,-0.0323215,0.01489
-0.006746573,-0.010391669,-0.010782447,-0.011367157,10/10/2000,-0.003561869,0.017215
-0.063415941,-0.079175879,-0.08209026,-0.083901207,17/10/2000,0.025924557,0.022228
-0.006829298,0.011794204,0.019292265,0.027102429,24/10/2000,-0.00818357,-0.043671
0.010765981,-0.00221063,-0.008065805,-0.01402437,31/10/2000,0.006586677,0.014212
-0.022167476,-0.035833243,-0.043555828,-0.048831036,7/11/2000,-0.001878134,0.000631
-0.002494864,-0.000121422,0.001662132,0.003069616,14/11/2000,0.02092762,0.018183
-0.068363446,-0.089900653,-0.097157704,-0.082846547,21/11/2000,0.011813324,-0.016001
-0.001663102,0.003746893,0.004641469,0.007707355,28/11/2000,-0.003759953,-0.005252
0.016140544,0.022417852,0.023746167,0.022075626,5/12/2000,-0.000985977,0.008011
-0.127523722,-0.115318704,-0.113556385,-0.111305723,12/12/2000,-0.039831903,-0.028527
0.015274193,0.016836583,0.017137284,0.015733766,19/12/2000,0.007162927,-0.040683
0.034222317,0.094286148,0.109208023,0.115227268,26/12/2000,-0.003578757,-0.001707
0.031502435,0.025865328,0.025188619,0.024738083,2/01/2001,-0.015990425,0.00379
0.008106154,-0.000265143,0.002156314,0.00218094,9/01/2001,0.003997095,0.03045
0.008653128,0.005970315,0.005773252,0.004864713,16/01/2001,-0.014445208,0.018012
0.063943259,0.048039665,0.044398399,0.042636561,23/01/2001,0.008627102,-0.029471
-0.007985127,0.017417875,0.02541295,0.026525396,30/01/2001,-0.011237141,-0.015547
-0.020270352,-0.017959179,-0.016441991,-0.014941538,6/02/2001,-0.015708827,0.024101
-0.025122645,-0.036906986,-0.03853419,-0.040946787,13/02/2001,0.038388032,0.008017
0.005582211,-0.016662644,-0.031023599,-0.040527834,20/02/2001,-0.023161305,-0.010507
0.064916985,0.052713492,0.055188942,0.055688224,27/02/2001,-0.014972535,-0.005319
0.028035329,0.033125033,0.030780386,0.030862717,6/03/2001,0.002001595,0.002574
-0.005774766,-0.003208136,-0.003818182,-0.003557665,13/03/2001,0.014082251,0.006139
0.044735275,0.037986022,0.027695104,0.015478963,20/03/2001,-0.028675181,-0.001463
